6755:  51.071143:-114.056317:4,69
9942:  51.018529:-114.020036:302
9943:  51.018654:-114.020370:302,75
9940:  50.982890:-113.998950:770,102,103,117
9941:  51.023721:-114.030728:302,75
9946:  50.915277:-113.956035:153,152,861,697,825
9947:  51.165488:-114.130767:425,884,753
9944:  51.022550:-114.031002:302
9945:  51.041867:-114.036858:302
9948:  51.163454:-114.134459:425,884,753
9949:  51.019142:-114.229388:439,732
7679:  50.939379:-113.984599:96,718,860,711,825
5078:  51.041547:-114.034895:1,411,151
5079:  51.043965:-114.045485:1,411,103
5072:  51.040555:-113.958526:1,45,176
5073:  51.037964:-113.959406:1,440,126
5070:  51.047965:-113.941944:1,50
5071:  51.041107:-113.951755:1,50
5076:  51.036925:-114.018341:1
5077:  51.035985:-114.020984:1,411
5074:  51.037897:-113.979173:1
5075:  51.038003:-113.987456:1,66,125,126
9560:  50.906168:-113.966517:92,892,717
9561:  50.906687:-113.963993:92,117,717
9562:  50.906712:-113.962896:92,892,117,717
9563:  50.907243:-113.961866:92,117,717
9564:  50.907766:-113.960864:92,892,717
9565:  50.910612:-113.957193:92,117,717
9566:  51.149640:-114.214439:158,157,774
9567:  51.149051:-114.215032:157,774
9568:  51.084893:-114.127006:8,10
9569:  51.153914:-114.252125:169,807,817,773
5380:  51.059006:-114.074101:405
5381:  51.116382:-114.210853:838
5382:  51.134296:-114.089728:89,64
5383:  51.139601:-114.093640:146,89,64
5384:  51.048475:-114.069171:17,75,125,126
5385:  51.048393:-114.065894:17,13
5386:  51.048397:-114.065694:75,125,126
5387:  51.041223:-114.060483:412,24
5388:  51.041017:-114.045901:24
5389:  51.040799:-114.043346:17
9384:  51.015696:-114.218371:439,732
9385:  51.087000:-113.981586:202
9386:  50.898730:-114.068945:201
9387:  50.923722:-114.073394:201
9380:  51.154299:-114.061651:116,744,746
9381:  51.164729:-114.047211:86,116,744
9382:  51.165053:-114.044716:86,116,744
9383:  51.153802:-114.074083:114,142,739
9388:  51.148732:-114.072788:430,425,842,841,888
9389:  51.153231:-114.069986:114,142,739
4978:  50.972373:-113.957187:176
2414:  51.146861:-113.979988:100
7148:  51.111906:-114.213266:43,37,832,837
7149:  51.112516:-114.212444:143,137,832
7144:  51.119321:-114.214135:43,832,837
7145:  51.117698:-114.217762:43,832,837
7147:  51.114359:-114.211647:43,37,832,837
7140:  51.103529:-114.197326:37,837,831,725
7141:  51.106777:-114.197730:37,837,831,725
7142:  51.109047:-114.205766:137,831
7143:  51.109500:-114.201752:137,831
2148:  51.045264:-114.220049:456
8053:  51.057547:-114.097086:9,405
8052:  51.057250:-114.094222:9,419
8051:  51.053051:-114.085979:5,9,405,145
8050:  51.053052:-114.086008:419
8057:  50.972749:-114.019165:36,41,731,853,75,770
8056:  50.974881:-114.023431:36,41,731,853,75,770
8055:  50.976642:-114.025114:36,41,731,853,75,770
8506:  51.006994:-114.000587:72
8509:  50.900596:-114.064105:11,15,14
8508:  50.903524:-114.066055:52,11,15,78,14
8059:  50.978159:-114.018633:36,41,731,853,75,770
8058:  50.976544:-114.015973:36,41,731,853,734,75,770
7498:  51.062123:-114.004731:33,745
7499:  51.065900:-114.008584:33,745
7492:  51.052333:-113.996201:127
7493:  51.049868:-114.008476:27,33,127
7490:  51.051077:-114.008256:27,33,127
7491:  51.052382:-114.003362:127
7496:  51.057196:-114.011843:33
7497:  51.060233:-114.006466:33,745
7495:  51.054963:-114.009675:33
6589:  50.926590:-114.083404:52
4761:  51.053313:-114.040950:9
4760:  51.053318:-114.043605:9
4763:  51.053298:-114.034315:9
4762:  51.053336:-114.049655:9
4765:  50.928688:-114.090674:52
4764:  51.106923:-113.969028:21,752,755
4767:  50.925310:-114.080410:52
4766:  50.926545:-114.084489:52
4769:  50.910537:-114.090370:15
4768:  50.909579:-114.093417:12
5809:  50.881724:-114.024342:178
5808:  51.096530:-114.165224:122
5803:  51.134683:-114.167733:76,816,802
5802:  51.093673:-114.160528:407,10
5801:  51.092528:-113.973070:25
5800:  51.091486:-113.959269:73,25,798,799
5807:  51.127052:-114.077705:46
5806:  51.125295:-114.072184:46,89,64,883,753,830
5805:  50.962994:-114.072321:81
5804:  51.063369:-114.056596:17,745
4889:  51.183052:-114.146850:425
4880:  51.097300:-114.071697:2
4881:  51.099953:-114.071686:2
4882:  51.107626:-114.071344:2,20,753
4883:  51.100700:-114.071368:2,753
4884:  51.097939:-114.071356:2,753
4885:  51.104987:-114.071582:2,20
4886:  51.106903:-114.071561:2,20
4887:  51.011035:-114.035545:30
7962:  50.913235:-113.968832:92,117,717
7963:  51.076071:-113.938362:34
7960:  50.953888:-114.065033:81,29
7961:  50.953861:-114.065020:80,35,10
7966:  51.156884:-113.962206:445
7967:  51.158089:-113.960752:445
7964:  51.079079:-114.115186:10
7965:  50.990192:-113.958216:23,176
9177:  50.961196:-114.108783:56
9176:  50.958054:-114.117765:84,79,56
9175:  50.961482:-114.110161:56,780
9174:  50.961514:-114.107096:56,780
9173:  50.961518:-114.104005:56,780
9172:  50.962349:-114.091462:16,84,79,56
9171:  50.938167:-114.017934:44
9170:  50.939733:-114.019357:44
6259:  50.954569:-114.074232:409
6258:  51.099548:-113.947310:55,759,757
6939:  50.893674:-114.041813:178
6252:  51.126385:-114.155305:154,704,818,805,796
6251:  51.118681:-114.156965:154,704,818,805,796
6250:  51.117374:-114.153515:54,77,154,429,704,818,706,805
6257:  51.100424:-113.940881:55,759,757
6256:  51.108072:-113.952678:55,555,755
6255:  51.108043:-113.966083:55,555,755
6254:  51.101350:-113.963847:55,755,752
8545:  51.012771:-114.159644:112,732
9719:  51.155513:-114.085317:114
9718:  51.157205:-114.083194:114,8
8544:  51.140486:-114.130918:704,819,804
9713:  51.163881:-114.071056:421,420
9712:  51.164708:-114.073178:420
9711:  51.164258:-114.075696:421,420
9710:  51.163167:-114.079184:421,420
9717:  51.157742:-114.080943:114,8
9716:  51.159245:-114.077386:114,8
9715:  51.159969:-114.074336:114,8
9714:  51.160207:-114.071961:114,8
8884:  51.057113:-114.213319:452
8885:  51.059559:-114.212944:452
8887:  50.957250:-113.958694:409,176
8880:  51.057323:-114.211209:452,98
8881:  51.057016:-114.211926:452
8883:  51.140457:-114.218238:157,801,774,814
8543:  51.037745:-114.120195:2,698
8542:  51.037745:-114.123077:2,698
5249:  51.046486:-114.065544:7,103,102,133
5248:  51.057018:-114.020233:27
5245:  51.058083:-114.086120:5,145
5244:  51.067202:-114.084961:5,145
5247:  51.052519:-114.009433:27
5241:  51.082920:-114.093921:5,145
7021:  51.060435:-114.141624:1,40
5243:  51.070225:-114.084986:5,145
5242:  51.077923:-114.085287:5,145
7020:  50.947926:-114.080872:35
7027:  51.047828:-114.073150:18,63
9002:  51.043132:-114.040287:305
7931:  51.037908:-114.068868:419,7,698
7025:  51.144580:-114.156345:54,805,704,818
7282:  51.104988:-113.953095:555
7024:  50.997536:-114.066639:506
7281:  51.106803:-113.949218:23,755,66,176,740,798,754
7932:  51.037905:-114.071979:7,698
7287:  50.994529:-114.063651:36,41
7934:  51.037902:-114.082294:2,7,698
9108:  50.933696:-114.126518:56,763,779,778
7284:  51.102783:-113.956827:555,754
9454:  50.954175:-114.004120:96,110
9107:  50.934763:-114.132245:56,763,779,778
9456:  50.951157:-114.008842:96,110
9457:  50.953723:-114.009988:96,110
9102:  50.930547:-114.059714:28,83,44,712,760,713
9452:  51.119299:-113.946537:23,66,176,740,754
5659:  51.045124:-114.155923:412
5656:  51.045437:-114.141464:412
5657:  51.045187:-114.140823:70
9453:  50.956841:-114.007039:96
5651:  51.041796:-114.117775:73,412
6419:  50.958407:-114.068736:79
6418:  50.950502:-114.048828:79
6415:  50.969580:-114.048786:79
6414:  50.972188:-114.065203:79
6417:  50.954784:-114.041022:79
6416:  50.963583:-114.048539:79
6411:  51.048320:-114.185009:93,452
6410:  51.044725:-114.048147:302,305
6413:  50.978858:-114.068268:79
6412:  50.979277:-114.074203:79,81,410,880
7777:  51.034366:-114.166625:94,699
7776:  51.032940:-114.166812:94,699
7775:  51.036378:-114.168385:94,699
7774:  51.037047:-114.169614:94,699
7773:  51.022771:-114.176988:94
7772:  51.021608:-114.173907:94
7771:  51.021790:-114.173610:94
7770:  51.053893:-113.981357:23,57,66
7779:  51.026558:-114.170311:94
7778:  51.029931:-114.170319:94
3917:  51.043939:-114.048012:75,151
3916:  51.045671:-114.060673:151
3915:  50.888373:-114.086391:402,765
3914:  50.963273:-114.011297:110
3913:  51.031228:-114.036567:110
3911:  51.049686:-114.062587:300
3919:  50.886528:-114.085624:402,765
6730:  51.065272:-114.103555:404,414,405
6731:  51.094436:-114.210861:1,40,721,724
6732:  51.110221:-114.210853:37,40,725,837,831
6733:  51.114384:-114.208516:40,725,831
